,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
60,61,55,SANGUINETI,Ilaria,ITA,VALCAR - TRAVEL & SERVICE,W,26,,,13:02:03,
61,62,205,DURRELL,Rebecca,GBR,CAMS - TIFOSI,W,32,,,13:02:18,
62,63,191,AMMERLAAN,Rozemarijn,NED,NXTG RACING,W,20,,,13:02:19,
63,64,17,RIJKES,Sarah,AUT,CERATIZIT - WNT PRO CYCLING TEAM,W,29,,,13:02:37,
64,65,91,PILOTE-FORTIN,Gabrielle,CAN,MASSI TACTIC WOMEN TEAM,W,27,,,13:02:58,
65,66,5,JØRGENSEN,Emma Cecilie Norsgaard,DEN,BIGLA - KATUSHA,W,21,,,13:03:22,
66,67,76,PENTON,Sara,SWE,DROPS,W,32,,,13:04:06,
67,68,157,TERUEL RIBES,Alba,ESP,MOVISTAR TEAM WOMEN,W,24,,,13:04:06,
68,69,53,PIRRONE,Elena,ITA,VALCAR - TRAVEL & SERVICE,W,21,,,13:04:17,
69,70,122,BARIANI,Giorgia,ITA,TOP GIRLS FASSA BORTOLO,W,20,,,13:04:18,
70,71,56,PERSICO,Silvia,ITA,VALCAR - TRAVEL & SERVICE,W,23,,,13:04:18,
71,72,145,D'AGOSTIN,Nicole,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,21,,,13:04:47,
72,73,134,RAAIJMAKERS,Marit,NED,PARKHOTEL VALKENBURG,W,21,,,13:05:34,
73,74,165,VAN REGENMORTEL,Laura,NED,BIEHLER KRUSH PRO CYCLING,W,28,,,13:07:23,
74,75,203,TINDLEY,Jo,GBR,CAMS - TIFOSI,W,33,,,13:07:23,
75,76,222,MEDINA GONZALEZ,Maria De Los Angeles,ESP,RIO MIERA - CANTABRIA DEPORTE,W,30,,,13:08:46,
76,77,127,TOMASI,Laura,ITA,TOP GIRLS FASSA BORTOLO,W,21,,,13:10:16,
77,78,207,GARDNER,Illi,GBR,CAMS - TIFOSI,W,21,,,13:10:46,
78,79,84,HANSELMANN,Nicole,SUI,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,29,,,13:11:30,
79,80,67,OBERHOLZER,Carla,RSA,BIZKAIA - DURANGO,W,33,,,13:13:57,
80,81,173,LARRARTE ARTEAGA,Eukene,ESP,ENEICAT -RBH GLOBAL,W,22,,,13:16:18,
81,82,85,BAKKER,Minke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,23,,,13:22:23,
82,83,83,VAN WITZENBURG,Marieke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,35,,,13:22:50,
83,84,185,EL HAYANI,Fatima Zahra,MAR,Team Arkea,W,24,,,13:23:29,
84,85,194,HOOLWERF,Cathalijne,NED,NXTG RACING,W,20,,,13:23:53,
85,86,121,DALLA VALLE,Elisa,ITA,TOP GIRLS FASSA BORTOLO,W,22,,,13:24:51,
86,87,97,TRIAS JORDAN,Ariadna,ESP,MASSI TACTIC WOMEN TEAM,W,25,,,13:26:46,
87,88,107,ORTIZ BONILLA,Emma,ESP,SOPELA WOMEN'S TEAM,W,22,,,13:27:07,
88,89,124,MONTICOLO,Iris,ITA,TOP GIRLS FASSA BORTOLO,W,20,,,13:27:40,
