,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,42,FISHER,Annabel,GBR,Cogeas Mettler Look Pro Cycling Team,W,31,,,14,
1,2,144,KULYNYCH,Olha,UKR,CICLOTEL,W,20,,,11,
2,3,12,PRIETO CASTAÑEDA,Marcela Elizabeth,MEX,AGOLICO,W,28,,,10,
3,4,63,LORVIK,Ingrid,NOR,HITEC PRODUCTS - BIRK SPORT,W,34,,,6,
4,5,13,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,5,
5,6,145,VAN DE VEL,Sara,BEL,CICLOTEL,W,26,,,2,
6,7,143,REIS,Daniela,POR,CICLOTEL,W,27,,,2,
7,8,92,BOURBEAU,Luce,CAN,Macogep Tornatech Girondins de Bordeaux,W,29,,,1,
