,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,,ADRIAN,Vera,NAM,,W,27,,,03:04:48,
1,2,,STEYN,Irene,NAM,,W,43,,,03:21:03,
