,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
70,71,135,WHITEHOUSE,Georgia,AUS,AUSTRALIA,W,29,,,+23:11,
71,72,126,WOLLASTON,Ally,NZL,NEW ZEALAND,W,19,,,+23:55,
72,73,132,EDWARDS,Sophie,AUS,AUSTRALIA,W,20,,,+24:06,
73,74,136,TALBOT,Josie,AUS,AUSTRALIA,W,24,,,+24:37,
74,75,74,SALAZAR VAZQUEZ,Lizbeth Yareli,MEX,ASTANA WOMEN'S TEAM,W,24,,,+24:37,
75,76,111,VALSECCHI,Silvia,ITA,BEPINK,W,38,,,+24:48,
76,77,71,IVANIUK,Maryna,UKR,,W,30,,,+26:24,
77,78,104,VAN WITZENBURG,Marieke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,35,,,+27:16,
78,79,72,PATTARO,Francesca,ITA,ASTANA WOMEN'S TEAM,W,25,,,+28:31,
79,80,62,CLEVENGER,Erica,USA,TEAM TIBCO - SILICON VALLEY BANK,W,26,,,+28:41,
80,81,85,POIDEVIN,Sara,CAN,Rally Cycling,W,24,,,+28:43,
81,82,94,MORALES MILANES,Jennifer,CRC,AGOLICO,W,23,,,+29:33,
82,83,106,HANSELMANN,Nicole,SUI,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,29,,,+31:04,
