,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
57,58.0,155,MERINO CORTAZAR,Eider,ESP,SPAIN,W,26,,,2:40:21,
58,59.0,183,LAURANCE,Typhaine,FRA,Team Arkea,W,22,,,2:40:21,
59,60.0,42,HEINE,Vita,NOR,HITEC PRODUCTS - BIRK SPORT,W,36,,,2:40:21,
60,61.0,166,TON,Quinty,NED,BIEHLER KRUSH PRO CYCLING,W,22,,,2:40:21,
61,62.0,157,TERUEL RIBES,Alba,ESP,SPAIN,W,24,,,2:40:21,
62,63.0,226,ESCURSELL VALERO,Elisabet,ESP,RIO MIERA - CANTABRIA DEPORTE,W,24,,,2:40:21,
63,64.0,237,GILL,Nadine Michaela,GER,,W,29,,,2:40:21,
64,65.0,202,FINNEY,Jessica,GBR,CAMS - TIFOSI,W,25,,,2:40:21,
65,66.0,151,GARCIA CAÑELLAS,Margarita Victo,ESP,SPAIN,W,36,,,2:40:21,
66,67.0,143,BORGHESI,Letizia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,22,,,2:40:21,
67,68.0,172,LAIZANE,Lija,LAT,ENEICAT -RBH GLOBAL,W,27,,,2:40:21,
68,69.0,26,CANUEL,Karol-Ann,CAN,BOELS DOLMANS CYCLINGTEAM,W,32,,,2:40:21,
69,70.0,43,AALERUD,Katrine,NOR,MOVISTAR TEAM WOMEN,W,26,,,2:40:21,
70,71.0,83,VAN WITZENBURG,Marieke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,35,,,2:40:21,
71,72.0,123,MARTURANO,Greta,ITA,TOP GIRLS FASSA BORTOLO,W,22,,,2:40:21,
72,73.0,44,SOLVANG,Julie,NOR,HITEC PRODUCTS - BIRK SPORT,W,31,,,2:40:21,
73,74.0,65,HOLDEN,Elizabeth,GBR,BIZKAIA - DURANGO,W,23,,,2:40:21,
74,75.0,72,LOWDEN,Joscelin,GBR,DROPS,W,33,,,2:40:21,
75,76.0,25,HALL,Katharine,USA,BOELS DOLMANS CYCLINGTEAM,W,33,,,2:40:21,
76,77.0,45,LYSTAD,Vibeke,NOR,,W,45,,,2:40:21,
77,78.0,51,MALCOTTI,Barbara,ITA,VALCAR - TRAVEL & SERVICE,W,20,,,2:40:21,
78,79.0,54,MAGRI,Silvia,ITA,VALCAR - TRAVEL & SERVICE,W,20,,,2:40:21,
79,80.0,241,GAFINOVITZ,Rotem,ISR,ISRAEL,W,28,,,2:40:21,
80,81.0,153,MARTINEZ BONAFE,Cristina,ESP,SPAIN,W,24,,,2:40:21,
81,82.0,36,MEERTENS,Lone,BEL,LOTTO SOUDAL LADIES,W,22,,,2:40:21,
82,83.0,35,CASTRIQUE,Alana,BEL,LOTTO SOUDAL LADIES,W,21,,,2:40:21,
83,84.0,245,FISHMAN,Roni,ISR,ISRAEL,W,21,,,2:40:21,
84,85.0,216,ROMEU SOLAZ,Marta,ESP,VIB - Natural Greatness,W,28,,,2:40:21,
85,86.0,154,MENDEZ MELGAREJO,Irene,ESP,SPAIN,W,28,,,2:40:21,
86,87.0,91,PILOTE-FORTIN,Gabrielle,CAN,MASSI TACTIC WOMEN TEAM,W,27,,,2:40:21,
87,88.0,184,ALLIN,Pauline,FRA,Team Arkea,W,25,,,2:40:21,
88,89.0,77,VAN 'T GELOOF,Maria Apolonia,NED,DROPS,W,24,,,2:40:21,
89,90.0,31,VAN DE VELDE,Julie,BEL,LOTTO SOUDAL LADIES,W,27,,,2:40:21,
90,91.0,82,CHRISTOFOROU,Antri,CYP,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,28,,,2:40:21,
91,92.0,234,WOLFE,Juliet,IRL,,W,38,,,2:40:21,
92,93.0,84,HANSELMANN,Nicole,SUI,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,29,,,2:40:21,
93,94.0,61,GOROSTIZA ULLOA,Aroa,ESP,BIZKAIA - DURANGO,W,21,,,2:40:21,
94,95.0,191,AMMERLAAN,Rozemarijn,NED,NXTG RACING,W,20,,,2:40:21,
95,96.0,96,ESPINOLA,Agua Marina,PAR,MASSI TACTIC WOMEN TEAM,W,24,,,2:40:36,
96,97.0,192,BORGSTRÖM,Julia,SWE,NXTG RACING,W,19,,,2:40:36,
97,98.0,217,YAZDANI,Somayeh,IRI,VIB - Natural Greatness,W,30,,,2:40:36,
98,99.0,47,UTVIK,Emelie Røe,NOR,,W,21,,,2:40:41,
99,100.0,116,TORRES BELTRAN,Yeima,CUB,ASTANA WOMEN'S TEAM,W,33,,,2:40:41,
100,101.0,167,WASMUS,Nienke,NED,BIEHLER KRUSH PRO CYCLING,W,21,,,2:40:49,
101,102.0,92,TRIAS JORDAN,Mireia,ESP,MASSI TACTIC WOMEN TEAM,W,20,,,2:40:49,
102,103.0,193,KOOL,Charlotte,NED,NXTG RACING,W,21,,,2:40:50,
103,104.0,201,POWELL,Jennifer,GBR,CAMS - TIFOSI,W,33,,,2:40:52,
104,105.0,102,STEELS,Claire,GBR,SOPELA WOMEN'S TEAM,W,34,,,2:40:52,
105,106.0,132,KOSTER,Anouska,NED,PARKHOTEL VALKENBURG,W,27,,,2:40:52,
106,107.0,174,BAIDAK,Anna,RUS,ENEICAT -RBH GLOBAL,W,20,,,2:40:52,
