,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,101,MOOLMAN-PASIO,Ashleigh,RSA,,W,35,,,28:23.8,
1,2,104,OBERHOLZER,Carla,RSA,,W,33,,,29:22.8,
2,3,154,JANSE VAN RENSBURG,Frances,RSA,,W,19,,,30:40.9,
3,4,102,JORDAAN,Liezel,RSA,,W,25,,,30:55.2,
4,5,105,JONKER,Kerry,RSA,,W,24,,,31:43.0,
5,6,151,KEEP,Tiffany,RSA,,W,20,,,31:57.2,
6,7,152,OWEN,Elné,RSA,,W,21,,,35:24.7,
